Date,Port,ticker,shares,price
1/27/2026,US_live_port,CF,-2220,91.74
1/27/2026,US_live_port,CFFN,397,6.94
1/27/2026,US_live_port,CFG,2904,63.42
1/27/2026,US_live_port,CFR,-736,135.56
1/27/2026,US_live_port,CG,8985,60.32
1/27/2026,US_live_port,CGNX,2338,39.46
1/27/2026,US_live_port,CHCO,424,120.65
1/27/2026,US_live_port,CHCT,270,17.07
1/27/2026,US_live_port,CHD,-4851,92.33
1/27/2026,US_live_port,CHDN,1691,100.23
1/27/2026,US_live_port,CHE,-189,436.72
1/27/2026,US_live_port,CHEF,1583,64.28
1/27/2026,US_live_port,CHH,-541,104.29
1/27/2026,US_live_port,CHKP,962,182.94
1/27/2026,US_live_port,CHRD,-235,98.04
1/27/2026,US_live_port,CHRW,1538,180.425
1/27/2026,US_live_port,CHTR,-1636,182.99
1/27/2026,US_live_port,CHWY,5100,31.3
1/27/2026,US_live_port,CI,-853,270.09
1/27/2026,US_live_port,CIEN,530,247.52
1/27/2026,US_live_port,CIM,-25761,12.98
1/27/2026,US_live_port,CINF,-1778,157.86
1/27/2026,US_live_port,CL,-6456,85.76
1/27/2026,US_live_port,CLB,-448,19.67
1/27/2026,US_live_port,CLBK,20671,7.2545
1/27/2026,US_live_port,CLF,9120,14.27
1/27/2026,US_live_port,CLFD,4484,31.44
1/27/2026,US_live_port,CLH,-2033,260.55
1/27/2026,US_live_port,CLSK,-4234,13.27
1/27/2026,US_live_port,CLX,-2197,113.19
1/27/2026,US_live_port,CMC,1512,76.5
1/27/2026,US_live_port,CMCO,-278,20.75
1/27/2026,US_live_port,CMCSA,-3781,28.7
1/27/2026,US_live_port,CME,-777,284.48
1/27/2026,US_live_port,CMG,-1551,39.65
1/27/2026,US_live_port,CMI,591,576.23
1/27/2026,US_live_port,CMP,-3605,25.62
1/27/2026,US_live_port,CMPR,-946,78.53
1/27/2026,US_live_port,CMRE,186,16.33
1/27/2026,US_live_port,CMS,132,72.04
1/27/2026,US_live_port,CNA,9592,46.74
1/27/2026,US_live_port,CNC,4937,41.53
1/27/2026,US_live_port,CNH,-36695,10.8
1/27/2026,US_live_port,CNK,-9545,23.12
1/27/2026,US_live_port,CNM,2510,55.1
1/27/2026,US_live_port,CNMD,685,39.58
1/27/2026,US_live_port,CNNE,-212,14.75
1/27/2026,US_live_port,CNO,832,41.02
1/27/2026,US_live_port,CNOB,887,28.02
1/27/2026,US_live_port,CNP,-5979,39.83
1/27/2026,US_live_port,CNR,-1336,96.91
1/27/2026,US_live_port,CNS,5604,65.09
1/27/2026,US_live_port,CNX,9046,36.74
1/27/2026,US_live_port,CNXC,373,41.61
1/27/2026,US_live_port,CNXN,-617,57.44
1/27/2026,US_live_port,COCO,-2067,54.98
1/27/2026,US_live_port,COF,-2729,217.11
1/27/2026,US_live_port,COHR,6,214
1/27/2026,US_live_port,COHU,-925,28.99
1/27/2026,US_live_port,COIN,-1133,210.83
1/27/2026,US_live_port,COKE,727,150.5
1/27/2026,US_live_port,COLB,12373,28.96
1/27/2026,US_live_port,COLD,-297,12.78
1/27/2026,US_live_port,COLL,35,45.32
1/27/2026,US_live_port,COLM,-7283,54.16
1/27/2026,US_live_port,COO,3188,80.7
1/27/2026,US_live_port,COP,5657,99.87
