ticker,shares,price,position_market_value,average_daily_volume,average_daily_dollar_volume,position_shares_pct_adv,position_value_pct_dollar_adv
AJG,699,242.3699951171875,169416.62658691406,1916205.0,489191768.47732544,0.0003647835174211527,0.00034631945487195314
AKAM,-24,102.0999984741211,-2450.3999633789062,3298515.0,308455375.93898773,7.276001473390298e-06,7.944098740115956e-06
AKBA,39030,1.4500000476837158,56593.50186109543,3035840.0,4381303.355218172,0.012856408769895647,0.0129170471142319
AKR,-1101,19.40999984741211,-21370.409832000732,1598695.0,32991381.330709457,0.0006886867100979236,0.0006477573526789088
ALB,2689,184.3300018310547,495663.37492370605,3457535.0,586957131.3075256,0.0007777217005756991,0.0008444626506531227
ALDX,-4400,5.420000076293945,-23848.00033569336,865205.0,4054610.904979706,0.005085499968215625,0.0058816988595389585
ALG,1858,190.89999389648438,354692.18865966797,102070.0,19022486.87980652,0.01820319388654845,0.01864594208427051
ALGM,895,34.54999923706055,30922.24931716919,2305235.0,73466954.73462105,0.00038824675141579923,0.0004209001098366908
ALGN,-3279,164.9199981689453,-540772.6739959717,833455.0,139279168.37364197,0.003934225603061953,0.0038826529502620924
ALGT,136,86.75,11798.0,495950.0,44078805.67378998,0.0002742211916523843,0.00026765697980368135
ALHC,38,22.079999923706055,839.0399971008301,3121455.0,67708058.65363121,1.2173809970030002e-05,1.2392025613864385e-05
ALK,666,52.369998931884766,34878.419288635254,3611535.0,180546499.9388504,0.00018440912243685857,0.00019318247266188093
ALKS,3118,33.900001525878906,105700.20475769043,2136825.0,66490120.1651001,0.0014591742421583424,0.001589712945250041
ALKT,-166,22.40999984741211,-3720.05997467041,1465525.0,31753911.060581207,0.00011326998857064874,0.00011715281206063566
ALL,-286,197.3300018310547,-56436.38052368164,1813275.0,363484459.529953,0.00015772566213067516,0.00015526490622642697
ALLE,642,164.89999389648438,105865.79608154297,807160.0,131864282.22877502,0.0007953813370335497,0.0008028390576446884
ALLO,-3142,1.4500000476837158,-4555.900149822235,5454745.0,8592650.095940828,0.0005760122608847893,0.0005302089691717395
ALLY,7995,42.29999923706055,338188.4939002991,3860235.0,168626148.79981995,0.0020711174319698153,0.0020055519046560835
ALNT,1007,59.88999938964844,60309.22938537598,136005.0,8157344.917297363,0.0074041395536928786,0.00739324253134036
ALNY,1534,349.5799865722656,536255.6994018555,1394105.0,524777592.8010559,0.0011003475347983115,0.0010218723260258388
ALRM,-2366,48.720001220703125,-115271.5228881836,323230.0,16382950.148563385,0.007319865111530489,0.007036066266629745
ALSN,2303,110.58999633789062,254688.7615661621,783345.0,82991656.05838776,0.002939956213418098,0.0030688478054586472
ALV,2088,126.25,263610.0,621275.0,78081726.52107239,0.0033608305500784676,0.0033760780114007595
ALX,192,237.85000610351562,45667.201171875,85470.0,20114225.593948364,0.0022464022464022465,0.002270393207959972
AMAL,7231,37.650001525878906,272247.1610336304,222305.0,7784873.593683243,0.03252738354962777,0.034971301429291744
AMAT,1163,336.75,391640.25,7263130.0,2235209790.4197693,0.00016012380337402746,0.0001752140902740277
AMBA,-3306,66.69000244140625,-220477.14807128906,1067940.0,74363298.840065,0.003095679532558009,0.0029648650814358673
AMBP,-31398,4.409999847412109,-138465.1752090454,927745.0,3982123.345887661,0.03384335135193399,0.03477169418974387
AMC,-3732,1.4299999475479126,-5336.75980424881,40065785.0,63125625.79705179,9.314680843018551e-05,8.454189145635459e-05
AMCR,-1080,44.189998626708984,-47725.1985168457,5349657.0,230028117.94874954,0.0002018821019740144,0.0002074754988321859
AMCX,2618,7.71999979019165,20210.95945072174,364255.0,3123741.1143398285,0.007187272652400104,0.006470113466811134
AMD,827,252.74000549316406,209015.98454284668,36096675.0,8324193784.299316,2.2910697453435808e-05,2.510945683858085e-05
AME,422,222.49000549316406,93890.78231811523,1204335.0,259093389.2918396,0.0003504008436190927,0.00036238200663760595
AMG,182,313.5799865722656,57071.557556152344,389710.0,120754283.4828186,0.0004670139334376844,0.00047262553269402415
AMGN,704,342.2200012207031,240922.880859375,2598320.0,871451174.045105,0.0002709443024723668,0.0002764617089687978
AMH,2410,30.790000915527344,74203.9022064209,4680590.0,147552316.19951248,0.0005148923533144326,0.0005028989318343623
AMKR,-10001,50.959999084472656,-509650.95084381104,4310060.0,214389281.27981186,0.0023203853310626767,0.002377222162420686
AMN,-315,20.489999771118164,-6454.349927902222,1353375.0,24938039.182229042,0.00023275145469659186,0.00025881545380286434
AMP,1505,499.6700134277344,752003.3702087402,505835.0,253946499.21524048,0.0029752784999060957,0.002961266930367706
AMPH,9756,26.1200008392334,254826.72818756104,323045.0,8726889.63271141,0.030200126917302544,0.029200177716512198
AMPL,-16387,9.899999618530273,-162231.2937488556,1203515.0,12662417.885160446,0.013615949946614707,0.012812031258183353
AMR,1095,215.74000549316406,236235.30601501465,259195.0,59107158.07243347,0.004224618530450047,0.0039967292239887035
AMRC,-8229,33.310001373291016,-274108.00130081177,517830.0,16300865.013961792,0.015891315682753027,0.016815549424281262
AMRX,-22245,13.949999809265137,-310317.74575710297,1865065.0,24939825.96842289,0.01192719824778225,0.012442658828093114
AMSF,4553,36.369998931884766,165592.60513687134,136405.0,5153552.238368988,0.03337854184230783,0.03213174088039876
AMT,-1316,177.50999450683594,-233603.1527709961,3051680.0,539378216.4518738,0.0004312378755308551,0.0004330971211771943
AMZN,-905,243.00999450683594,-219924.04502868652,39727000.0,9457794472.370605,2.2780476753844992e-05,2.3253206196345093e-05
AN,240,215.92999267578125,51823.1982421875,274750.0,58699699.11987305,0.0008735213830755232,0.0008828528769177715
ANAB,-1958,31.633333206176758,-61938.06641769409,742605.0,22905972.41924286,0.0026366641754364704,0.002704013839013494
ANDE,348,61.0099983215332,21231.479415893555,284405.0,16183153.075351715,0.0012236071799019005,0.0013119494895114637
